Query,Expected,Response,Pages,Exact Match,Token F1,Token P,Token R,BLEU-1,BLEU-2,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore F1,BERTScore P,BERTScore R,Semantic Similarity,Faithfulness,Answer Relevancy,Context Recall,Latency (s),Tokens/sec
What are the four essential treatment pillars of the AF-CARE framework?,"[C] Comorbidity and risk factor management, [A] Avoid stroke and thromboembolism, [R] Reduce symptoms by rate and rhythm control, and [E] Evaluation and dynamic reassessment.+3","The four essential treatment pillars of the AF-CARE framework are:

1. Comorbidity and risk factor management  
2. Avoid stroke and thromboembolism  
3. Reduce symptoms by rate and rhythm control  
4. Evaluation and dynamic reassessment  

These pillars form a systematic, time-orientated approach to managing atrial fibrillation (AF) with a focus on patient-centred care.","18, 7, 18, 7",0,0.5195,0.3846,0.8,0.3846,0.3363,0.2442,0.5432,0.4051,0.4938,0.8281,0.8102,0.8467,0.5799,10,10,10,11.27,7.28
What is the minimum ECG duration required to establish a diagnosis of clinical AF?,A standard 12-lead ECG recording or a single-lead ECG tracing of ≥30 seconds.+1,"The minimum duration to establish the diagnosis of clinical AF is not clear and depends on the clinical context. However, periods of 30 seconds or more may indicate clinical concern and trigger further monitoring or risk stratification.","13, 13, 60, 65",0,0.08,0.0541,0.1538,0.0541,0.0233,0.0093,0.1509,0.0784,0.1132,0.7219,0.7242,0.7197,0.2791,10,10,9,5.38,8.18
When is oral anticoagulation (OAC) recommended based on the CHA2​DS2​-VA score?,OAC is recommended for a score of 2 or more (Class I) and should be considered for a score of 1 (Class IIa).+2,"Oral anticoagulation (OAC) is recommended in patients with clinical atrial fibrillation (AF) who have a CHA2DS2-VA score of 2 or more, as this indicates elevated thromboembolic risk. This is to prevent ischaemic stroke and thromboembolism. 

Additionally, OAC is recommended in all patients undergoing AF catheter ablation, regardless of rhythm outcome or CHA2DS2-VA score, for at least 2 months post-procedure to reduce the risk of peri-procedural ischaemic stroke and thromboembolism. However, continuation of OAC after ablation should be guided by the patient’s CHA2DS2-VA score, not the perceived success of the procedure.","67, 28, 46, 46",0,0.2655,0.1667,0.6522,0.1667,0.1145,0.0608,0.2667,0.1186,0.2333,0.7361,0.6699,0.8169,0.4476,10,10,10,18.95,8.39
Which drugs are recommended as first-choice for rate control in patients with LVEF>40%?,"Beta-blockers, diltiazem, verapamil, or digoxin.+3","Beta-blockers, diltiazem, verapamil, or digoxin are recommended as first-choice drugs in patients with AF and LVEF >40% to control heart rate and reduce symptoms.","9, 66, 37, 66",0,0.2759,0.1667,0.8,0.1667,0.1474,0.0985,0.3636,0.3226,0.3636,0.8615,0.8029,0.9294,0.6967,10,10,10,5.45,8.08
Is antiplatelet therapy recommended as an alternative to OAC for stroke prevention in AF?,"No, antiplatelet drugs alone (aspirin or clopidogrel) are not recommended for stroke prevention in AF.+2","No, antiplatelet therapy is not recommended as an alternative to oral anticoagulation (OAC) for stroke prevention in atrial fibrillation (AF). 

The context clearly states that adding antiplatelet treatment to oral anticoagulation is not recommended for the goal of preventing ischaemic stroke or thromboembolism. Furthermore, antiplatelet therapy is not recommended in patients with AF to prevent recurrent embolic stroke, even as an alternative to OAC.

Therefore, based on the provided guidelines, antiplatelet therapy is not recommended as an alternative to OAC for stroke prevention in AF.","8, 66, 9, 32",0,0.18,0.1059,0.6,0.1059,0.087,0.0427,0.198,0.1414,0.198,0.7904,0.7728,0.8089,0.7786,10,10,10,15.08,8.29
What is the recommended target for alcohol consumption to reduce AF recurrence?,Reducing consumption to ≤3 standard drinks (≤30 grams of alcohol) per week.+2,The recommended target for alcohol consumption to reduce AF recurrence is ≤3 standard drinks (≤30 grams of alcohol) per week.,"65, 11, 25, 11",0,0.625,0.5,0.8333,0.5,0.4588,0.379,0.7273,0.5806,0.6667,0.8953,0.8734,0.9183,0.7354,10,10,10,3.76,7.18
"For patients on VKA, what is the recommended target INR range and TTR percentage?",A target INR of 2.0–3.0 and a Time in Therapeutic Range (TTR) above 70%.+2,"The recommended target INR range for patients on VKA is 2.0–3.0, and the time in therapeutic range (TTR) should be maintained above 70%.","30, 52, 35, 31",0,0.5405,0.4348,0.7143,0.4348,0.3444,0.2029,0.6364,0.4762,0.6364,0.9033,0.8893,0.9177,0.7513,10,10,10,5.63,7.11
"When should a ""wait-and-see"" approach be considered for cardioversion?",For symptomatic AF with an onset <48 hours in patients without hemodynamic compromise.+1,"A ""wait-and-see"" approach for cardioversion should be considered in patients without haemodynamic compromise who have persistent atrial fibrillation (AF), specifically when spontaneous conversion to sinus rhythm occurs within 48 hours of AF onset. This approach is recommended as an alternative to immediate cardioversion in such stable patients. Additionally, it may be considered in patients who are haemodynamically stable, especially if they do not have significant risk factors for thromboembolism, and if there is no need for urgent intervention. 

The approach is supported by Class IIa recommendations and should be considered in the context of a comprehensive rhythm control strategy within the AF-CARE framework. However, if there is haemodynamic instability or if the patient has thromboembolic risk factors, immediate cardioversion is preferred.","9, 41, 39, 40",0,0.1343,0.0744,0.6923,0.0744,0.0431,0.0159,0.1449,0.0441,0.087,0.7638,0.7133,0.8222,0.6107,10,10,10,20.17,8.13
List the three criteria used to decide on a dose reduction for Apixaban.,"(i) Age ≥80 years, (ii) body weight ≤60 kg, and (iii) serum creatinine ≥133 μmol/L (two out of three are needed).","The three criteria used to decide on a dose reduction for apixaban are:

(i) age ≥80 years  
(ii) body weight ≤60 kg  
(iii) serum creatinine ≥133 mmol/L  

Two out of these three criteria need to be met for dose reduction to be recommended.","31, 63, 51, 8",0,0.5625,0.4186,0.8571,0.4186,0.36,0.2727,0.6061,0.4375,0.5758,0.8727,0.8413,0.9065,0.588,10,10,10,8.3,7.83
What is the primary indication for long-term rhythm control therapy in AF patients?,The reduction of AF-related symptoms and improvement in quality of life.+1,The primary indication for long-term rhythm control therapy in atrial fibrillation (AF) patients is reduction in AF-related symptoms and improvement in quality of life.,"63, 67, 3, 13",0,0.5143,0.375,0.8182,0.375,0.3128,0.2551,0.5641,0.4324,0.5641,0.859,0.8295,0.8906,0.4969,10,10,10,4.03,7.94
