Query,Expected,Response,Pages,Exact Match,Token F1,Token P,Token R,BLEU-1,BLEU-2,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore F1,BERTScore P,BERTScore R,Semantic Similarity,Faithfulness,Answer Relevancy,Context Recall,Latency (s),Tokens/sec
What are the four essential treatment pillars of the AF-CARE framework?,"[C] Comorbidity and risk factor management, [A] Avoid stroke and thromboembolism, [R] Reduce symptoms by rate and rhythm control, and [E] Evaluation and dynamic reassessment.+3","According to the text, the four essential treatment pillars of the AF-CARE framework are:

[A] Avoidance of stroke and thromboembolism
[R] Reduce symptoms by rate and rhythm control
[E] Evaluation and dynamic reassessment
[C] Comorbidity and risk factor management","11, 19, 3",0,0.6875,0.5641,0.88,0.5641,0.5169,0.4359,0.7273,0.625,0.5455,0.9089,0.8875,0.9313,0.6828,9,10,10,10.7,5.61
What is the minimum ECG duration required to establish a diagnosis of clinical AF?,A standard 12-lead ECG recording or a single-lead ECG tracing of ≥30 seconds.+1,"According to the text, the minimum duration to establish the diagnosis of clinical AF for ambulatory ECG is not clear and depends on the clinical context. However, periods of 30 s or more may indicate clinical concern, and trigger further monitoring or risk stratification for thromboembolism.","14, 15, 12",0,0.1017,0.0652,0.2308,0.0652,0.0236,0.0086,0.129,0.0333,0.0968,0.724,0.7056,0.7435,0.4147,9,10,10,11.56,5.28
When is oral anticoagulation (OAC) recommended based on the CHA2​DS2​-VA score?,OAC is recommended for a score of 2 or more (Class I) and should be considered for a score of 1 (Class IIa).+2,"According to the text, oral anticoagulation (OAC) is recommended in all patients with atrial fibrillation (AF) at elevated thromboembolic risk, as indicated by a CHA2DS2-VA score of 2 or more (Page 47).","47, 29, 9",0,0.3273,0.2812,0.3913,0.2812,0.2333,0.1496,0.3158,0.2182,0.3158,0.7722,0.7333,0.8155,0.4843,9,10,10,12.47,4.73
Which drugs are recommended as first-choice for rate control in patients with LVEF>40%?,"Beta-blockers, diltiazem, verapamil, or digoxin.+3","According to the provided context, beta-blockers, diltiazem, verapamil, or digoxin are recommended as first-choice drugs for rate control in patients with atrial fibrillation (AF) and LVEF >40% to control heart rate and reduce symptoms.","67, 10, 38, 21, 23",0,0.2051,0.1176,0.8,0.1176,0.1034,0.0681,0.2791,0.2439,0.2791,0.8332,0.7622,0.9187,0.714,9,10,10,13.08,4.51
Is antiplatelet therapy recommended as an alternative to OAC for stroke prevention in AF?,"No, antiplatelet drugs alone (aspirin or clopidogrel) are not recommended for stroke prevention in AF.+2","No, antiplatelet therapy is not recommended as an alternative to OAC for stroke prevention in AF. According to the text, ""Antiplatelet drugs, such as aspirin and clopidogrel, are not an alternative to OAC. They should not be used for stroke prevention, and can lead to potential harm (especially among elderly patients with AF)."" (Page 33)","33, 67, 29",0,0.3429,0.2182,0.8,0.2182,0.1798,0.077,0.3662,0.2609,0.3099,0.8665,0.8248,0.9127,0.8758,9,10,10,14.48,5.52
What is the recommended target for alcohol consumption to reduce AF recurrence?,Reducing consumption to ≤3 standard drinks (≤30 grams of alcohol) per week.+2,"According to the provided context, the recommended target for alcohol consumption to reduce AF recurrence is ≤3 standard drinks (≤30 grams of alcohol) per week. (Page 12, IIa B)","12, 66, 26, 11",0,0.4878,0.3448,0.8333,0.3448,0.3139,0.2547,0.5714,0.45,0.5238,0.8598,0.81,0.9162,0.719,9,10,10,10.93,3.84
"For patients on VKA, what is the recommended target INR range and TTR percentage?",A target INR of 2.0–3.0 and a Time in Therapeutic Range (TTR) above 70%.+2,"For patients on VKA, the recommended target INR range is 2.0-3.0, and the target time in therapeutic range (TTR) percentage is >70% (Page 67 and 52).","67, 31, 52, 53",0,0.4,0.3077,0.5714,0.3077,0.2481,0.1608,0.5532,0.4,0.5532,0.8816,0.8622,0.902,0.7642,9,10,10,12.84,3.74
"When should a ""wait-and-see"" approach be considered for cardioversion?",For symptomatic AF with an onset <48 hours in patients without hemodynamic compromise.+1,"According to the text, a ""wait-and-see"" approach should be considered for cardioversion in patients without haemodynamic compromise as an alternative to immediate cardioversion (Page 41). Additionally, in patients with recent-onset symptomatic AF without haemodynamic compromise, a wait-and-see approach for spontaneous conversion until 48 h after the onset of AF symptoms was non-inferior to immediate cardioversion (Page 40).","40, 41, 21, 10, 4",0,0.2857,0.1754,0.7692,0.1754,0.0969,0.0336,0.2857,0.08,0.1558,0.7884,0.737,0.8475,0.6554,9,10,10,14.83,6.07
List the three criteria used to decide on a dose reduction for Apixaban.,"(i) Age ≥80 years, (ii) body weight ≤60 kg, and (iii) serum creatinine ≥133 μmol/L (two out of three are needed).","According to Table 11 on page 32, the three criteria used to decide on a dose reduction for Apixaban are:

1. Age ≥80 years
2. Body weight ≤60 kg
3. Serum creatinine ≥133 mmol/L","32, 31, 64, 52",0,0.4364,0.3529,0.5714,0.3529,0.2736,0.1318,0.4561,0.2545,0.386,0.8202,0.8138,0.8266,0.5639,8,10,10,12.56,4.22
What is the primary indication for long-term rhythm control therapy in AF patients?,The reduction of AF-related symptoms and improvement in quality of life.+1,"According to the text, the primary indication for long-term rhythm control therapy in AF patients is the reduction in AF-related symptoms and improvement in quality of life. (Page 64)","64, 45, 3, 14",0,0.45,0.3103,0.8182,0.3103,0.2785,0.2168,0.5,0.4286,0.5,0.855,0.815,0.8992,0.6748,9,10,10,9.91,3.83
