Query,Expected,Response,Pages,Exact Match,Token F1,Token P,Token R,BLEU-1,BLEU-2,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore F1,BERTScore P,BERTScore R,Semantic Similarity,Faithfulness,Answer Relevancy,Context Recall,Retrieval Time (s),Generation Time (s),Tokens/sec
What are the four essential treatment pillars of the AF-CARE framework?,"[C] Comorbidity and risk factor management, [A] Avoid stroke and thromboembolism, [R] Reduce symptoms by rate and rhythm control, and [E] Evaluation and dynamic reassessment.+3","The four essential treatment pillars of the AF-CARE framework are:

1. Diagnostic evaluation of new AF
2. Education directed to patients, family members, caregivers, and healthcare professionals
3. Access to patient-centered management according to the AF-CARE principles
4. Management of comorbondy and risk factor","19, 9, 25, 3, 26",0,0.1739,0.1364,0.24,0.1364,0.0796,0.0344,0.1918,0.0563,0.0822,0.7424,0.7402,0.7445,0.3114,9,10,7,0.4035,12.92,5.96
What is the minimum ECG duration required to establish a diagnosis of clinical AF?,A standard 12-lead ECG recording or a single-lead ECG tracing of ≥30 seconds.+1,"The minimum ECG duration required to establish a diagnosis of clinical AF is typically 30 seconds or more when using single-lead or multiple-lead ECG devices. However, a standard 12-lead ECG measures 10 seconds. It's important to note that these durations may vary depending on specific circumstances and guidelines. Always refer to current clinical practice guidelines for the most accurate information.","15, 12, 11, 60, 66",0,0.2466,0.15,0.6923,0.15,0.0873,0.0463,0.325,0.1795,0.175,0.8046,0.7579,0.8573,0.673,9,10,10,0.1908,14.39,6.6
When is oral anticoagulation (OAC) recommended based on the CHA2​DS2​-VA score?,OAC is recommended for a score of 2 or more (Class I) and should be considered for a score of 1 (Class IIa).+2,"Oral anticoagulation (OAC) is recommended when a patient has a CHADS -VA score of 2 or more, which indicates an elevated thromboembolic risk. This recommendation applies to both patients with symptomatic and asymptomatic atrial fibrillation (AF). The goal of OAC in these cases is to reduce the risk of ischemic stroke and thromboembolism. Additionally, OAC is advised for patients with AF and certain conditions like hypertrophic cardiomyopathy or cardiac amyloidosis, regardless of their CHADS -VA score, due to the increased risk of ischemic stroke associated with these conditions. It's important to note that individual assessments are necessary, and healthcare providers must consider each patient' compositions, including potential risks such as bleeding, before starting OAC.","47, 9, 68, 92, 29",0,0.2044,0.1228,0.6087,0.1228,0.0808,0.0453,0.2158,0.0876,0.1871,0.7353,0.6704,0.8141,0.4162,10,10,10,0.2037,21.44,8.96
Which drugs are recommended as first-choice for rate control in patients with LVEF>40%?,"Beta-blockers, diltiazem, verapamil, or digoxin.+3","Beta-blockers, diltiazem, verapamil, or digoxin are recommended as first-choice drugs in patients with AF and LVEF >40% to control heart rate and reduce symptoms.","67, 10, 38, 21, 39",0,0.2759,0.1667,0.8,0.1667,0.1474,0.0985,0.3636,0.3226,0.3636,0.8615,0.8029,0.9294,0.6967,10,10,10,0.2155,10.04,4.98
Is antiplatelet therapy recommended as an alternative to OAC for stroke prevention in AF?,"No, antiplatelet drugs alone (aspirin or clopidogrel) are not recommended for stroke prevention in AF.+2","No, antiplatelet therapy is not recommended as an alternative to oral anticoagulation (OAC) for stroke prevention in patients with atrial fibrillation (AF). The recommendation against adding antiplatelet treatment to OAC specifically states ""Adding antiplatelet treatment to oral anticoagulation is not recommended in AF patients for the goal of preventing ischaemic stroke or thromboembolism."" This indicates that while OAC remains the primary strategy for stroke prevention in AF due to its effectiveness in reducing the risk of both ischemic and thromboembolic events, antiplatelet agents should not be used instead of OAC for this purpose.","66, 67, 33, 20, 9",0,0.1667,0.0968,0.6,0.0968,0.0725,0.0337,0.1835,0.1121,0.1651,0.7813,0.757,0.8073,0.7723,10,10,10,0.1889,17.29,8.62
What is the recommended target for alcohol consumption to reduce AF recurrence?,Reducing consumption to ≤3 standard drinks (≤30 grams of alcohol) per week.+2,The recommended target for alcohol consumption to reduce AF recurrence is ≤3 standard drinks (≤30 grams of alcohol) per week.,"12, 66, 25, 26, 63",0,0.625,0.5,0.8333,0.5,0.4588,0.379,0.7273,0.5806,0.6667,0.8953,0.8734,0.9183,0.7354,10,10,10,0.2248,8.65,3.93
"For patients on VKA, what is the recommended target INR range and TTR percentage?",A target INR of 2.0–3.0 and a Time in Therapeutic Range (TTR) above 70%.+2,"For patients on vitamin K antagonists (VKA), the recommended target International Normalized Ratio (INR) range is 2.0–3.0, and the Time in Therape0utic Range (TTR) should be greater than 70%.","67, 31, 53, 52, 32",0,0.3721,0.2759,0.5714,0.2759,0.1719,0.0393,0.48,0.25,0.48,0.8556,0.829,0.8839,0.587,10,10,10,0.2253,12.69,4.88
"When should a ""wait-and-see"" approach be considered for cardioversion?",For symptomatic AF with an onset <48 hours in patients without hemodynamic compromise.+1,"A ""wait-and case of spontaneous conversion to sinus rhythm within 48 hours of AF onset."" This approach is suitable for patients who are hemodynamically stable and have no history of haemodynamic compromise. It's an alternative to immediate cardioversion when considering rhythm control strategies.","10, 40, 41, 42, 56",0,0.25,0.1628,0.5385,0.1628,0.0623,0.0202,0.3051,0.0351,0.1695,0.8168,0.7915,0.8437,0.5992,9,10,10,0.2202,11.5,6.17
List the three criteria used to decide on a dose reduction for Apixaban.,"(i) Age ≥80 years, (ii) body weight ≤60 kg, and (iii) serum creatinine ≥133 μmol/L (two out of three are needed).","The three criteria used to decide on a dose reduction for Apixaban are:

1. Age ≥80 years
2. Body weight ≤60 kg
3. Serum creatinine ≥133 mmol/L.","32, 64, 38, 31, 52",0,0.5,0.4444,0.5714,0.4444,0.3459,0.1681,0.52,0.2917,0.44,0.8394,0.8452,0.8337,0.5763,10,10,10,0.1616,11.85,4.81
What is the primary indication for long-term rhythm control therapy in AF patients?,The reduction of AF-related symptoms and improvement in quality of life.+1,"The primary indication for long-term rhythm control therapy in AF patients is the reduction in AF-related symptoms and improvement in quality of life. This approach aims to maintain sinus rhythm, slow the progression of AF, and potentially reduce morbidity related to AF episodes.","64, 45, 44, 39, 42",0,0.3704,0.2326,0.9091,0.2326,0.1969,0.1474,0.4138,0.3571,0.3793,0.8527,0.8171,0.8915,0.6277,10,10,10,0.2039,10.77,5.85
Is routine heart rhythm assessment recommended for individuals aged 65 and older?,"Yes, routine heart rhythm assessment during healthcare contact is recommended in all individuals aged ≥65 years.+1","Yes, routine heart rhythm assessment is recommended for individuals aged 65 and older. This recommendation is stated under ""Recommendations for screening for AF"" where it says ""Routine heart rhythm assessment during healthcare contact is recommended in all individuals aged ≥65 years for earlier detection of AF.""","69, 61, 59, 15, 42",0,0.4839,0.3261,0.9375,0.3261,0.3185,0.3024,0.5079,0.4918,0.5079,0.8942,0.8571,0.9346,0.8196,10,10,10,0.2327,11.33,6.09
Which heart failure medication is recommended for AF patients regardless of LVEF?,Sodium-glucose cotransporter-2 (SGLT2) inhibitors.+2,Sodium-glucose cotransporter-2 inhibitors are recommended for patients with HF and AF regardless of left ventricular ejection fraction to reduce the risk of HF hospitalization and cardiovascular death.,"10, 26, 67, 66, 68",0,0.129,0.0741,0.5,0.0741,0.0534,0.0225,0.2778,0.1765,0.2778,0.8022,0.7476,0.8654,0.6102,9,10,10,0.242,10.46,5.07
What should be done if a left atrial thrombus is detected prior to a planned cardioversion?,"Therapeutic anticoagulation should be instituted for a minimum of 4 weeks, followed by a repeat TOE to ensure resolution.","If a left atrial thrombus is detected prior to a planned cardioversion, it is a contraindication to proceed with the procedure due to the risk of thrombus dislodgement leading to ischemic stroke or other thromboembolic events. Before considering any form of cardioversion, the patient must receive appropriate anticoagulation therapy until the thrombus is resolved. This usually involves administering oral anticoagulants such as direct oral anticoagulants (DOACs) or vitamin K antagonists (VKAs), ensuring adequate adherence to achieve a target International Normalized Ratio (INR) of 2.0 or higher if using VKAs. Transoesophageal echocardiography may be performed during this period to monitor the resolution of the thrombus. Once the thrombus is cleared and the patient is appropriately anticoagulated, cardioversion can be safely conducted. It is essential to follow these guidelines closely to minimize the risks associated with cardioversion in the presence of a thrombus.","42, 50, 46, 68, 67",0,0.0875,0.0496,0.3684,0.0496,0.0132,0.0041,0.1118,0.0,0.0621,0.751,0.7013,0.8083,0.4416,9,10,10,0.1903,24.13,10.2
Name two non-cardiac conditions associated with trigger-induced AF according to Table 14.,"Note: Table 14 title is ""Non-cardiac conditions associated with trigger-induced AF"" . Specific examples include infections (sepsis) or potentially reversible factors.+2",Two non-cardiac conditions associated with trigger-induced AF according to Table 14 are anxiety and sleep apnea.,"4, 16, 17, 11, 45",0,0.4444,0.5,0.4,0.3894,0.3483,0.2639,0.4878,0.4103,0.3902,0.8406,0.8679,0.8149,0.7494,10,10,10,0.2151,10.47,2.77
What is the recommended weight loss target for obese individuals with AF?,A target of 10% or more reduction in body weight.+2,The recommended weight loss target for obese individuals with AF is a 10% or more reduction in body weight.,"12, 66, 26, 11, 27",0,0.5517,0.4211,0.8,0.4211,0.342,0.268,0.6,0.4286,0.5333,0.8654,0.8503,0.8811,0.6459,10,1,1,0.1895,8.27,3.14
Can a physician use a single-lead ECG to provide a definite diagnosis of AF?,"Yes, review of an ECG (12-lead, single, or multiple leads) by a physician is recommended for a definite diagnosis.+1","Yes, a physician can use a single-lead ECG to provide a definite diagnosis of AF. However, while a single-lead ECG may suggest AF when there'ieves a definitive diagnosis, especially if the lead placement captures the arrhythmia well. For a conclusive diagnosis, a standard 12-lead ECG is often preferred because it provides comprehensive information about the electrical activity of the entire heart. Nonetheless, even a single-lead ECG can be useful in certain situations, such as when immediate bedside evaluation is necessary, or when access to a full ECG machine is limited. It's important to note that further confirmatory tests might still be needed depending on the clinical scenario.","11, 15, 61, 69, 12",0,0.1746,0.1028,0.5789,0.1028,0.0539,0.0131,0.2239,0.0758,0.1343,0.8015,0.7684,0.8374,0.7556,9,10,10,0.205,18.17,8.97
What are the symptoms of AF listed in Figure 1?,"Palpitations, shortness of breath, fainting (syncope), fatigue, chest pain, poor exercise capacity, anxiety, depressed mood, and dizziness.","The symptoms of AF listed in Figure 1 are none, mild, and severe.","16, 15, 8, 20, 45",0,0.1333,0.1538,0.1176,0.1131,0.0422,0.0164,0.1333,0.0,0.1333,0.719,0.7366,0.7023,0.3274,0,0,1,0.2238,8.32,2.52
Is it recommended to use a bleeding risk score to decide whether to withhold OAC?,"No, using bleeding risk scores to decide on starting or withdrawing OAC is not recommended.+2","No, using a bleeding risk score to decide on withholding oral anticoagulation (OAC) is not recommended in patients with atrial fibrillation (AF) to avoid under-use of anticoagulation. The guidelines suggest that while assessing and managing modifiable bleeding risk factors is important, decisions about starting or withdrawing OAC should not solely rely on bleeding risk scores. Instead, they recommend shared decision-making between healthcare providers and patients when considering the initiation or discontinuation of OAC therapy.","35, 36, 20, 67, 12",0,0.3146,0.1892,0.9333,0.1892,0.161,0.071,0.3261,0.2667,0.3043,0.8432,0.7834,0.9129,0.7944,1,1,1,0.1967,15.11,8.14
"What is the definition of ""Permanent AF"" according to the guidelines?","AF for which no further attempts at restoration of sinus rhythm are planned, after a shared decision between patient and physician.","Permanent AF is defined as AF for which no further attempts at restoration of sinus rhythm are planned, after a shared decision between the patient and physician.","14, 13, 8, 10, 9",0,0.875,0.7778,1.0,0.7778,0.7539,0.7011,0.875,0.8261,0.875,0.937,0.9205,0.954,0.8179,10,10,10,0.185,8.34,4.44
"For patients undergoing cardiac surgery, when is surgical closure of the LAA recommended?",As an adjunct to oral anticoagulation in patients with AF undergoing cardiac surgery to prevent stroke.+1,"For patients undergoing cardiac surgery, surgical closure of the left atrial appendage (LAA) is recommended for stroke prevention in patients with atrial fibrillation (AF). This recommendation applies to those who are undergoing cardiac surgery to prevent ischemic stroke and thromboembolism. The procedure is advised as an adjunct to oral anticoagulation in patients with AF.","12, 48, 81, 11, 13",0,0.4286,0.2778,0.9375,0.2778,0.261,0.2246,0.4507,0.3768,0.2817,0.8498,0.8043,0.9007,0.6067,10,10,10,0.1886,12.54,7.26
